,0,1,2,3,4,5,6,7,8
32,0.0,4.0,23.0,43.0,55.0,73.0,14.03561176459211,12.409404744778488,15.661818784405732
33,0.0,0.0,21.0,45.0,62.0,75.0,12.583068738635111,10.996906461148411,14.169231016121811
34,2.0,21.0,33.0,42.0,57.0,67.0,11.321300581330393,9.129431185364195,13.51316997729659
35,0.0,0.0,14.0,26.0,50.0,72.0,15.726303999442871,13.120711469708942,18.3318965291768
36,0.0,0.0,11.0,29.0,51.0,72.0,15.000220609143211,13.24619878521996,16.754242433066462
37,0.0,6.0,19.0,37.0,55.0,77.0,16.064621908685094,13.902801226729581,18.226442590640605
38,0.0,4.0,18.0,31.0,54.0,74.0,12.258955467926448,10.637171449842814,13.880739486010082
39,0.0,13.0,28.0,43.0,62.0,74.0,13.710945027493933,12.051786345664983,15.370103709322883
40,0.0,6.0,25.0,38.0,55.0,64.0,10.591013223759127,8.39186006074482,12.790166386773434
41,0.0,14.0,27.0,38.0,51.0,73.0,14.337776525089858,12.721503151168678,15.954049899011038
42,0.0,2.0,17.0,42.0,59.0,76.0,14.960218679541889,13.018307971011483,16.902129388072293
43,0.0,0.0,3.0,21.0,40.0,63.0,9.89842749682543,8.129307092531745,11.667547901119116
44,0.0,0.0,1.0,20.0,47.0,67.0,13.875583595206127,11.646701598460304,16.10446559195195
45,0.0,8.0,25.0,41.0,60.0,81.0,17.981781689573967,16.232784670783055,19.73077870836488
46,0.0,0.0,16.0,40.0,58.0,71.0,13.809776326747642,11.948313900155233,15.67123875334005
47,0.0,0.0,13.0,28.0,51.0,72.0,14.421052791746202,12.422185702168074,16.419919881324333
48,1.0,10.0,26.0,43.0,55.0,76.0,15.249082857779111,13.326189456018811,17.17197625953941
49,0.0,12.0,30.0,44.0,64.0,77.0,15.534649841122997,13.62215935977588,17.447140322470116
50,0.0,6.0,16.0,38.0,58.0,74.0,13.560976492768981,11.511970554926108,15.609982430611854
51,0.0,6.0,27.0,43.0,57.0,72.0,14.044322421056258,12.79976709218144,15.288877749931075
52,3.0,16.0,26.0,39.0,59.0,78.0,14.789907898984291,13.030147216021469,16.549668581947113
53,0.0,0.0,13.0,29.0,47.0,67.0,11.61443478274859,9.828709726914653,13.400159838582528
54,7.0,22.0,34.0,53.0,62.0,81.0,16.816420378619735,15.168795398811461,18.46404535842801
55,6.0,13.0,23.0,40.0,58.0,75.0,14.903228530091639,12.785574784783414,17.020882275399863
56,0.0,1.0,21.0,39.0,55.0,66.0,11.565746011984945,9.246505100657174,13.884986923312717
57,0.0,0.0,12.0,28.0,53.0,71.0,14.013888249676654,12.011785582895275,16.015990916458033
58,0.0,12.0,27.0,40.0,65.0,76.0,16.116095130343094,14.553827175732915,17.678363084953276
59,0.0,0.0,16.0,30.0,48.0,70.0,13.875416104674683,11.601898534654275,16.14893367469509
60,0.0,2.0,18.0,34.0,59.0,66.0,13.057126396088497,11.248153741287918,14.866099050889076
61,0.0,7.0,20.0,36.0,52.0,69.0,13.457232554252094,11.378304792407565,15.536160316096623
62,0.0,0.0,16.0,37.0,60.0,78.0,18.470200926351602,16.722003117567045,20.21839873513616
63,0.0,7.0,20.0,40.0,53.0,79.0,20.141287990249385,17.735506883964582,22.547069096534187
64,2.0,18.0,35.0,45.0,58.0,78.0,16.072537926670172,14.292800440256745,17.8522754130836
65,0.0,4.0,24.0,38.0,60.0,73.0,14.297288054665575,12.673544417395117,15.921031691936033
66,0.0,0.0,18.0,40.0,53.0,75.0,15.160562639923434,13.27665455363967,17.044470726207198
67,0.0,3.0,21.0,36.0,48.0,65.0,11.014168064218905,9.143153883924574,12.885182244513237
68,0.0,0.0,17.0,33.0,49.0,75.0,15.01467198003259,13.12923055970694,16.90011340035824
69,9.0,28.0,37.0,50.0,68.0,79.0,18.09502306567639,16.26452755679986,19.92551857455292
70,2.0,20.0,35.0,51.0,69.0,82.0,17.217435475125306,15.261491914590454,19.173379035660158
71,0.0,7.0,29.0,37.0,50.0,76.0,14.322643045061172,12.450118751350345,16.195167338772
72,0.0,14.0,33.0,45.0,60.0,72.0,12.959989436482628,11.446337381379564,14.473641491585692
73,0.0,0.0,21.0,37.0,53.0,76.0,15.303205573380442,13.260383302717997,17.346027844042887
74,0.0,12.0,29.0,35.0,59.0,75.0,15.154782275828541,13.204924765381143,17.10463978627594
75,0.0,11.0,25.0,45.0,65.0,78.0,15.202581534674634,13.119897951954465,17.2852651173948
76,0.0,0.0,18.0,36.0,51.0,64.0,10.464382255964264,9.00659835067084,11.922166161257687
77,0.0,0.0,10.0,32.0,51.0,70.0,13.774696853549509,11.932454079059866,15.616939628039152
78,0.0,10.0,30.0,41.0,59.0,79.0,15.231598333988863,13.103783042283876,17.35941362569385
79,0.0,11.0,29.0,40.0,55.0,75.0,17.002046905078554,15.135335663006966,18.868758147150142
80,0.0,1.0,18.0,41.0,51.0,70.0,12.94440615835249,10.661454771369023,15.227357545335956
81,0.0,0.0,18.0,36.0,52.0,71.0,14.625279346760783,12.834878447379335,16.41568024614223
82,0.0,0.0,18.0,39.0,54.0,72.0,14.36803036456826,12.475302725375256,16.26075800376126
83,2.0,18.0,33.0,47.0,58.0,71.0,13.457615471442121,11.900625637195603,15.01460530568864
